Date,cw,R676,cwdr,Rdr,P,R632,R664
11/11/2022 13:30,0.791679642,1.164596273,0.037308128,-0.037974683,0.789283128,1.163147793,1.161290323
11/14/2022 13:30,0.801137369,1.152173913,0.011946406,-0.010233919,0.796524258,1.149712092,1.149405772
11/15/2022 13:30,0.822128729,1.124223602,0.026201948,-0.026587887,0.830557567,1.117082534,1.118845501
11/16/2022 13:30,0.821622327,1.124223602,-0.000615964,-0.003034902,0.829109341,1.115163148,1.115449915
11/17/2022 13:30,0.821502509,1.118012422,-0.000145831,-0.00152207,0.829471398,1.111324376,1.113752122
11/18/2022 13:30,0.819793404,1.124223602,-0.002080462,0.004573171,0.827299059,1.115163148,1.118845501
11/21/2022 13:30,0.816651002,1.127329193,-0.003833164,0.003034902,0.824402607,1.120921305,1.122241087
11/22/2022 13:30,0.82189644,1.118012422,0.006423109,-0.004538578,0.83128168,1.115163148,1.117147708
11/23/2022 13:30,0.825645846,1.111801242,0.004561896,-0.007598784,0.837074584,1.107485605,1.108658744
11/24/2022 13:30,0.835562499,1.099378882,0.012010783,-0.010719755,0.845039826,1.092130518,1.096774194
11/25/2022 13:30,0.835252215,1.105590062,-0.000371347,0.003095975,0.845039826,1.099808061,1.100169779
11/28/2022 13:30,0.822725559,1.121118012,-0.014997452,0.015432099,0.828023172,1.113243762,1.117147708
11/29/2022 13:30,0.831359818,1.108695652,0.010494701,-0.010638298,0.835626358,1.103646833,1.105263158
11/30/2022 13:30,0.840962796,1.096273292,0.011550928,-0.010752688,0.842505431,1.090211132,1.093378608
12/1/2022 13:30,0.848493823,1.086956522,0.008955244,-0.010869565,0.85698769,1.078694818,1.081494058
12/2/2022 13:30,0.846113284,1.090062112,-0.002805606,0.003139717,0.849384504,1.084452975,1.084889643
12/5/2022 13:30,0.846681855,1.086956522,0.00067198,-0.001564944,0.850470673,1.082533589,1.083191851
12/6/2022 13:30,0.832447225,1.105590062,-0.016812254,0.015673981,0.834902245,1.099808061,1.100169779
12/7/2022 13:30,0.826859288,1.108695652,-0.006712663,0.00462963,0.829833454,1.105566219,1.105263158
12/8/2022 13:30,0.822509095,1.121118012,-0.005261104,0.00921659,0.820057929,1.113243762,1.115449915
12/9/2022 13:30,0.831121877,1.108695652,0.010471352,-0.01369863,0.832729906,1.099808061,1.100169779
12/12/2022 13:30,0.825874744,1.114906832,-0.006313314,0.00925926,0.824764663,1.10940499,1.110356537
12/13/2022 13:30,0.820809033,1.118012422,-0.006133752,0.003058103,0.821144099,1.113243762,1.113752122
12/14/2022 13:30,0.833039534,1.102484472,0.014900544,-0.013719512,0.83128168,1.09596929,1.098471986
12/15/2022 13:30,0.832743945,1.105590062,-0.000354832,0,0.832005793,1.097888676,1.098471986
12/16/2022 13:30,0.821124969,1.124223602,-0.013952639,0.015455951,0.818247647,1.117082534,1.115449915
12/19/2022 13:30,0.815742757,1.124223602,-0.00655468,0.00456621,0.813540912,1.120921305,1.120543294
12/20/2022 13:30,0.800862126,1.145962733,-0.018241818,0.016666666,0.798696597,1.140115163,1.139219015
12/21/2022 13:30,0.804500191,1.139751553,0.004542686,-0.004470938,0.801955105,1.138195777,1.134125637
12/22/2022 13:30,0.816286461,1.127329193,0.014650424,-0.013473054,0.815351195,1.119001919,1.118845501
12/23/2022 13:30,0.806604357,1.139751553,-0.011861159,0.010622155,0.801593049,1.130518234,1.130730051
12/26/2022 13:30,0.807367351,1.133540373,0.000945933,-0.003003003,0.8044895,1.130518234,1.127334465
12/27/2022 13:30,0.809814581,1.127329193,0.003031124,-0.004518072,0.808110065,1.122840691,1.122241087
12/28/2022 13:30,0.801035636,1.145962733,-0.010840685,0.013615733,0.796524258,1.140115163,1.137521222
12/29/2022 13:30,0.796057529,1.149068323,-0.00621459,0.002985075,0.792903693,1.143953935,1.140916808
12/30/2022 13:30,0.799034333,1.142857143,0.003739434,-0.005952381,0.797972484,1.134357006,1.134125637
1/3/2023 13:30,0.803919186,1.133540373,0.006113446,-0.004491018,0.801955105,1.128598848,1.129032258
1/4/2023 13:30,0.802506801,1.136645963,-0.001756875,0,0.800144823,1.13243762,1.129032258
1/5/2023 13:30,0.808267118,1.130434783,0.007177905,-0.004511279,0.805937726,1.126679463,1.123938879
1/6/2023 13:30,0.812352806,1.121118012,0.005054874,-0.00755287,0.809558291,1.117082534,1.115449915
1/9/2023 13:30,0.83376579,1.093167702,0.026359218,-0.02435312,0.83852281,1.086372361,1.088285229
1/10/2023 13:30,0.83663408,1.090062112,0.003440163,-0.003120125,0.841781318,1.082533589,1.084889643
1/11/2023 13:30,0.833722272,1.093167702,-0.003480385,0.001564945,0.842505431,1.084452975,1.086587436
1/12/2023 13:30,0.832603215,1.096273292,-0.001342242,0.0015625,0.838884866,1.086372361,1.088285229
1/13/2023 13:30,0.837830567,1.083850932,0.006278323,-0.006240249,0.848660391,1.080614203,1.081494058
1/16/2023 13:30,0.843645141,1.080745342,0.006940036,-0.004709576,0.855177408,1.07293666,1.076400679
1/17/2023 13:30,0.843979728,1.080745342,0.000396596,-0.004731861,0.855177408,1.071017274,1.071307301
1/30/2023 13:30,0.875680124,1.043478261,0.037560613,-0.031695722,0.874004345,1.03646833,1.037351443
1/31/2023 13:30,0.862758973,1.049689441,-0.014755561,0.006546645,0.856625634,1.044145873,1.044142615
2/1/2023 13:30,0.871515311,1.046583851,0.010149228,-0.004878049,0.861694424,1.040307102,1.039049236
2/2/2023 13:30,0.881407661,1.034161491,0.011350747,-0.013071895,0.876176684,1.026871401,1.025466893
2/3/2023 13:30,0.881831546,1.031055901,0.000480918,0.001655629,0.876176684,1.024952015,1.027164686
2/6/2023 13:30,0.869971803,1.043478261,-0.013448989,0.009917355,0.863504707,1.03646833,1.037351443
2/7/2023 13:30,0.870429034,1.046583851,0.00052557,0,0.861694424,1.038387716,1.037351443
2/8/2023 13:30,0.88270814,1.034161491,0.014106959,-0.014729951,0.875090514,1.024952015,1.022071307
2/9/2023 13:30,0.8816083,1.031055901,-0.001245985,0.003322259,0.875452571,1.024952015,1.025466893
2/10/2023 13:30,0.880926692,1.031055901,-0.000773141,0.001655629,0.876176684,1.026871401,1.027164686
2/13/2023 13:30,0.878532023,1.037267081,-0.002718352,0.001652893,0.874366401,1.030710173,1.028862479
2/14/2023 13:30,0.88476031,1.027950311,0.007089425,-0.00990099,0.880883418,1.021113244,1.018675722
2/15/2023 13:30,0.872236481,1.043478261,-0.014155053,0.018333333,0.860608255,1.038387716,1.037351443
2/16/2023 13:30,0.878883566,1.031055901,0.007620737,-0.01309329,0.871107893,1.024952015,1.0237691
2/17/2023 13:30,0.874882089,1.040372671,-0.004552908,0.0066335,0.859884142,1.034548944,1.030560272
2/20/2023 13:30,0.878924824,1.037267081,0.004620891,-0.00494234,0.861694424,1.028790787,1.025466893
2/21/2023 13:30,0.879590041,1.034161491,0.000756853,0,0.861332368,1.026871401,1.025466893
2/22/2023 13:30,0.871438446,1.043478261,-0.009267493,0.011589404,0.851918899,1.038387716,1.037351443
2/23/2023 13:30,0.882552151,1.031055901,0.012753287,-0.014729951,0.864590876,1.02303263,1.022071307
2/24/2023 13:30,0.876243609,1.031055901,-0.007148067,0.00166113,0.860246198,1.026871401,1.0237691
3/1/2023 13:30,0.881595866,1.031055901,0.006108184,0.001658375,0.86422882,1.024952015,1.025466893
3/2/2023 13:30,0.881608865,1.034161491,1.47E-05,-0.001655629,0.863504707,1.026871401,1.0237691
3/3/2023 13:30,0.88215709,1.02484472,0.000621846,-0.00331675,0.86422882,1.02303263,1.020373514
3/6/2023 13:30,0.89092247,1.01552795,0.009936304,-0.011647254,0.872556119,1.009596929,1.008488964
3/7/2023 13:30,0.896256642,1.00931677,0.005987245,-0.006734006,0.878349022,1.003838772,1.001697793
3/8/2023 13:30,0.894013441,1.01552795,-0.002502855,0.005084745,0.871107893,1.009596929,1.006791171
3/9/2023 13:30,0.891326574,1.01552795,-0.003005399,0.003372682,0.87038378,1.013435701,1.010186757
3/10/2023 13:30,0.877510178,1.034161491,-0.015500937,0.018487395,0.856625634,1.030710173,1.028862479
3/13/2023 13:30,0.879448181,1.034161491,0.002208525,-0.00330033,0.860246198,1.026871401,1.025466893
3/14/2023 13:30,0.868140619,1.043478261,-0.012857564,0.011589404,0.85083273,1.038387716,1.037351443
3/15/2023 13:30,0.869676214,1.040372671,0.001768832,-0.001636661,0.851556843,1.034548944,1.03565365
3/16/2023 13:30,0.860267658,1.049689441,-0.010818458,0.008196722,0.847574222,1.046065259,1.044142615
3/17/2023 13:30,0.873370797,1.034161491,0.015231468,-0.01300813,0.861332368,1.030710173,1.030560272
3/20/2023 13:30,0.871506268,1.034161491,-0.002134866,0.003294892,0.855177408,1.032629559,1.033955857
3/21/2023 13:30,0.876789573,1.034161491,0.006062269,-0.00821018,0.859160029,1.026871401,1.025466893
3/22/2023 13:30,0.89075009,1.01552795,0.015922313,-0.014900662,0.875452571,1.009596929,1.010186757
3/23/2023 13:30,0.896599141,1.00931677,0.006566433,-0.008403361,0.882331644,1.003838772,1.001697793
3/24/2023 13:30,0.899467431,1.00310559,0.003199077,-0.003389831,0.884866039,0.998080614,0.998302207
3/27/2023 13:30,0.894697874,1.00621118,-0.005302645,0.005102041,0.879435192,1.005758157,1.003395586
3/28/2023 13:30,0.887416657,1.01552795,-0.008138186,0.008460237,0.871832006,1.013435701,1.01188455
3/29/2023 13:30,0.891275708,1.01242236,0.004348635,-0.003355705,0.873280232,1.011516315,1.008488964
3/30/2023 13:30,0.895778499,1.00621118,0.005052074,-0.005050504,0.87762491,1.003838772,1.003395586
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
